lat,lon,lang
41.0745881,28.9984224,tr
27.9892,45.55067,und
29.46347158,-98.3549204,en
13.2725734,100.9305688,th
3.00996,101.71335,id
34.47107535,135.41445443,ja
-0.0695125,109.3680058,id
36.6971921,29.0640431,tr
-31.3544844,-64.2527072,es
-22.7884606,-47.2909474,pt
33.87930362,-117.8833473,en
42.2984319,-91.9599925,en
28.72004573,-100.48557025,en
53.54900445,-2.2942956,en
39.3310559,-76.72064041,und
40.8915961,29.1895438,tr
-10.9881808,-37.05511105,it
48.82626451,2.38349736,fr
-34.868588,-57.878496,id
53.38045301,-1.4624221,en
59.42762471,18.3485643,sv
-31.731461,-60.4985543,es
-30.8741468,-51.8227643,pt
27.4371485,-82.5335426,es
44.0932031,-70.2017395,en
40.81967218,-74.15148705,en
24.677653,46.813806,ar
40.99799699,28.62593012,tr
28.81684115,-97.00042172,en
13.4854887,-88.1727247,es
-7.80578882,110.35305647,id
22.89928356,-109.8911283,es
10.5004375,-66.9136188,es
-5.219469,119.4444035,id
24.5883326,46.5300225,ar
-6.3270426,106.7741212,id
19.37082348,-99.77432337,es
14.7257228,120.9803626,en
2.97786,99.07018,id
-31.6760399,-61.7570652,es
53.84760249,-0.44096611,en
3.9993423,102.1103419,id
55.92296581,-4.15510582,en
40.9912295,29.1596406,tl
25.81360395,-80.12784852,en
55.91194116,37.75100586,fr
-6.2395303,106.8610657,id
-30.1299015,-51.2167471,en
5.375443,100.42035165,id
-22.8137348,-43.0078995,pt
-3.0178049,-59.9621429,pt
2.76005,101.98828,id
-28.681771,-49.3745152,pt
3.1323,101.78899,tl
1.845224,103.2810593,id
40.74056238,-74.17918486,en
-6.1247814,106.8831914,id
39.5847945,26.8763341,tr
40.71008595,-74.00922343,en
-34.468,-58.84547,es
4.1851586,101.26204,id
46.21946086,6.11234809,fr
36.7964967,-5.1377523,es
-23.46364878,-46.57605393,pt
40.63729356,-73.62991275,en
40.664167,-73.938611,nl
-6.155095,106.7482866,id
3.729054,101.466286,id
32.193435,76.3559292,en
-29.6869142,-51.1357559,pt
3.577743,98.68807686,id
-7.922881,112.5964957,id
25.1659019,55.4051505,en
-30.1236382,-51.3511258,pt
34.3266941,-77.88623857,en
-23.01135407,-43.32767487,sl
3.057166,101.4705706,en
35.82116384,-78.84950716,en
-35.9059884,-64.3032308,es
35.31282902,-80.73001131,en
24.5801277,46.9046301,ar
18.2793748,42.7242248,ar
35.92165011,139.81642387,ja
44.72809461,-93.37861957,en
3.02402,101.6118,id
-35.8157355,-61.8859618,es
-23.5422015,-46.5007244,pt
6.4603453,100.1648328,en
37.8702357,32.4563927,tr
-33.96701068,18.85629309,en
32.62508795,-96.53648105,en
-26.792798,-65.2512515,es
33.95046545,-81.11968992,en
2.8210994,101.4434302,id
30.15652489,-96.49875146,tl
40.1922333,29.0805637,tr
-34.6275405,-58.4860767,es
43.11672902,-94.67613399,en
-1.2176326,36.8727408,ja
34.1131548,-116.4234564,en
10.5001566,-66.8806348,es
0.8929033,108.9656367,id
44.97415818,-93.27201647,und
51.05702387,-114.06256244,en
40.67651798,15.77587856,es
36.2304376,-6.0089664,es
-30.0269829,-51.1916284,pt
10.275428,-67.923051,es
-8.1828567,-34.9208255,pt
42.78593696,-8.8864585,es
36.58143807,140.65638793,ja
21.5576546,39.1522208,ar
49.25435605,4.02494669,fr
35.7995246,139.5425247,ja
33.77873344,-116.37821938,en
39.47135939,-87.40906997,en
8.1094306,-63.4889292,ht
25.13507816,55.18704354,en
-15.5932368,-56.0602501,pt
41.242333,-81.1328654,en
45.13320198,-93.45857226,en
-38.0391471,-57.5851934,es
0,0,es
51.28945334,-0.859973,en
33.73009416,-117.00366672,en
42.44398664,-82.9344638,en
5.5175708,95.3158777,id
34.15035644,-118.24214217,es
35.74348379,-88.02982989,und
14.6990011,121.1271803,en
8.11340374,-63.56706385,und
41.0266062,28.913341,tr
-33.89090196,18.51734393,en
13.28181046,101.44645429,th
-23.5527488,-46.2251182,pt
33.02255249,-111.38900757,en
39.10858221,-77.17126175,en
53.37217631,-1.50857269,en
36.78419762,-76.59236612,en
51.5435823,-1.7009377,en
40.06561292,-74.11491491,en
38.4648576,27.2487582,tr
40.594204,-112.0195619,en
56.01120958,92.81134103,ru
36.16478795,-86.62084049,en
40.509457,-3.6677753,es
48.7381583,7.0534023,pt
33.50708704,-86.92618464,en
30.20150371,-98.11455047,en
-34.6409856,-58.4148419,es
18.4626891,-69.9114644,es
24.722621,46.6789894,ar
37.9797436,-87.4907574,en
-25.3460331,-57.4816896,id
19.42864524,-99.11187415,es
-6.55931,106.73175,id
-8.8437695,13.2314984,en
-6.1929952,106.7859722,und
-34.6172848,-58.9818639,es
-22.8219389,-43.3881276,pt
37.2853398,-7.1505687,es
37.893504,-4.7885118,und
-22.8767821,-43.3358342,pt
7.8969737,-72.5051221,es
